Sl,Item,Quantity,Amount
1,AASHIRVAD ATTA 1KG,4,230.28
2,ACT SOUR CREAM CHEESE,15,206.25
3,ACT SUNDROP PEANUT BUTTER CREAME,1,220.15
4,ACT SUNDROP PEANUT BUTTER CREAM,1,160.53
5,ACT SUNDROP PEANUT BUTTER CRUNCH,2,380.68
6,ACT-II-CHILY SUPRE 30G,15,165
7,ACT-II-CLASSIC SALTED 40G,30,275.1
8,ACT-II-MAGIC BUTTER 30G,15,137.55
9,AMUL ALPHONSO MANGO 1LTR,4,812
10,AMUL BUTTER SALTED 500G,4,"1,016.04"
11,AMUL BUTTER UNSALT 100G,12,622.8
12,AMUL BUTTERSCOTCH 125ML,40,"1,156.00"
13,AMUL BUTTERSCOTCH 2 LIT,10,"2,700.00"
14,AMUL BUTTERSCOTCH CONE 1PIC,20,578
15,AMUL BUTTERSCOTCH GOLD 1LIT,2,406
16,AMUL CHEESE 200G,12,"1,560.00"
17,AMUL CHOCO MALTINO,1,248.01
18,AMUL CHOCOBAR PROBITIC FOLD,56,"1,129.92"
19,AMUL CHOCOLATE MAGIC 1 LTR,2,360
20,AMUL COMBO VANILLA,4,760.04
21,AMUL FRESH CREAM 1LTR,12,"2,460.00"
22,AMUL FRESH CREAM 250ML,6,380.1
23,AMUL GOLDEN PEARL 125ML,8,232
24,AMUL GOLDEN PEARL 2L,2,564
25,AMUL JUMBO CHOCO MALTINO,16,528
26,AMUL JUMBO CUP COFFEE,8,264
27,AMUL JUMBO CUP VANILA,32,792.16
28,AMUL JUMBO GIOLD BUTTERSCOTCH,8,250
29,AMUL MITHAI MATE 7.5KG,2,"3,400.00"
30,AMUL MITHAIMATE 200G,6,354
31,AMUL MITHAIMATE 400G,6,633.36
32,AMUL TWO IN ONE VANILA+STRW,2,490
33,AMUL VANILA CONE,20,495
34,AMUL VANILLA 1LIT,2,324
35,AMULYA DAIRY W . 10KG JAR,1,"3,498.01"
36,ANNS CHICKEN MASALA 100G,20,739.2
37,ANNS IDIYAPPAM PODI 500G,6,215.04
38,APPY 250ML BOTTLE BLACK,10,160.1
39,APPY FIZZ 125 BTL RED,20,164.6
40,APPY FIZZ 160ML,40,329.2
41,APPY FIZZ 1LIT,3,142.62
42,APPY FIZZ 600ML,6,164.58
43,APPY FIZZ CAN 250,6,164.58
44,APPY FIZZ CAN 250ML RED,6,164.58
45,AQUAFINA WATER 500 ML,72,570.24
46,ASIANS BANANA CHIPS,4,560
47,ASIANS BANANA CHIPS 180G,10,560
48,ASIANS CHEESE BALL100G,5,173.6
49,ASIANS CHILLI MIXTURE 170G,10,358.4
50,ASIANS GILEBEY MURUKKU 180G,6,215.04
51,ASIANS MACRONI CANDY,5,157.5
52,ASIANS POTATO CHIPS,5,201.6
53,AVT TEA POWDER 100G,10,288
54,AVT TEA POWDER 250G,8,560
55,BABY RUSK 250G,3,135
56,BABY RUSK 500G,4,320
57,BAKERS COCOA POWDER 50G,10,541.6
58,BAKERS CORN FLOUR 100G,10,275
59,BAKERS PLAIN CHINA GRASS 10G,10,391.6
60,BAKERS TOMATO KETCHUP 85G,12,200.04
61,BAMBINO PASTA MACARONI 200G,3,67.98
62,BAMBINO ROASTED VERMICELLI 200G,6,146.94
63,BAMBINO VERMICELLI 325G,6,164.64
64,BANANA BISCUT 250G,9,630
65,BINGO HASHTAG CREM&ONION,12,108.12
66,BOOST 17G,180,826.2
67,BOOST 500 G PAC,6,"1,383.36"
68,BOOST BOTTLE 200G,6,756.78
69,BOOST BOTTLE 500G,9,"2,491.65"
70,BOOST PAC 500G,1,230.57
71,BOUNTY 2X 28.5G,15,398.25
72,BRAHMINS APPAM IDIYAPPAM PODI 1KG,3,222
73,BRAHMINS APPAM IDIYAPPAM PODI 500,4,158
74,BRAHMINS FRIED RAVA 1KG,4,360
75,BRAHMINS MULTIGRAIN PUTTUPODI 50,4,208
76,BRAHMINS RAGI PUTTU POWDER,4,192
77,BRAHMINS RICE PODI 1KG,6,444
78,BRAHMINS RICE PODI 500G,6,237
79,BRAHMINS SAMBA WHEAT RAVA 500G,4,392
80,BREAD 1NO,235,"8,930.00"
81,BRITAANNIA NICE TIME,16,145.76
82,BRITANNIA  GOBBLES FRUITY 110G,6,160.98
83,BRITANNIA 50-50 MASKA CHASKA 120G,6,163.98
84,BRITANNIA 50-50 SSWEET & SALT 150G,44,"1,180.52"
85,BRITANNIA 50-50 SWEET AND SALTY 200,72,"2,254.32"
86,BRITANNIA 50-50 SWEET AND SALTY 76G,12,107.4
87,BRITANNIA 50-50 TIME PASS 150G,12,261.36
88,BRITANNIA BISCAFE,12,321.96
89,BRITANNIA BOUR BON 150G,12,437.16
90,BRITANNIA CAKE GOBBLES CHOCO 115,15,402.45
91,BRITANNIA CAKE MARBLE CAKE 110G,6,163.98
92,BRITANNIA GOBBLES MARBLE CAKE RE,9,245.97
93,BRITANNIA GOOD DAY BUTTER,6,137.04
94,BRITANNIA GOOD DAY BUTTER 200G,20,639.6
95,BRITANNIA GOOD DAY CASHEW,16,146.08
96,BRITANNIA GOOD DAY CASHEW  200G,40,"1,813.60"
97,BRITANNIA GOOD DAY CASHEW FAMILY,20,"2,357.20"
98,BRITANNIA GOOD DAY CHOCOCHIP,30,601.08
99,BRITANNIA GOOD DAY PISTA BADAM 20,12,601.08
100,BRITANNIA LITTLE HART 1NO,14,127.54
101,BRITANNIA MARIE GOLD 250G,18,649.98
102,BRITANNIA MILK BIKIS 120G,18,487.44
103,BRITANNIA MILK BIKIS 300G,18,901.62
104,BRITANNIA MILK BIKIS 55G,6,53.64
105,BRITANNIA MILK BIKIS CREAM 200G,12,546.48
106,BRITANNIA MILK RUSK 200G,12,375.72
107,BRITANNIA NICE TIME SUGAR SHOWERE,18,409.86
108,BRITANNIA NUTRI CHOICE CRACKER 300,39,"1,776.06"
109,BRITANNIA NUTRI CHOICE OATS 150G,6,402.48
110,BRITANNIA NUTRI CHOICE RAGI 150G,9,603.72
111,BRITANNIA THIN ARROWROOT BISCUITS,64,"2,787.20"
112,BRITANNIA THIN ARROWROOT BISCUIT,39,"1,189.11"
113,BRITANNIA TIGER BRITA 150G,6,131.82
114,BRITANNIA TIGER GLUCOSE 115G,10,88.3
115,BRITANNIA TIGER KRUNCH 72G,12,107.4
116,BRITANNIA TOASTEA RUSK 300G,36,"1,609.92"
117,BRITANNIA TREAT CHOCO,12,109.32
118,BRITANNIA TREAT CROISSANT COCOA 4,5,90.25
119,BRITANNIA TREAT CROISSANT MIXED F,5,90.25
120,BRITANNIA TREAT CROISSANT ORANGE,5,90.25
121,BRITANNIA TREAT CROISSANT VANILLA,3,54.15
122,BRITANNIA TREAT ORANGE,6,54.66
123,BRITANNIA TREAT VANILA,12,109.32
124,BRITANNIA TREAT WAFERS CHOCO,4,89.44
125,BRITANNIA TREAT WAFERS ORANGE,7,156.52
126,BRITANNIA TREAT WAFERS STRAWBERR,7,156.52
127,BRITANNIA TREAT WAFERS VANILA,7,156.52
128,BRITANNIA VITA MARIE GOLD BIS 300G,6,243.72
129,BROOKE BOND RED LABLE DUST 250G,8,536.08
130,BRU GOLD 25G JAR,2,168.22
131,BRU GOLD 50G JAR,2,327.1
132,BRU GREEN LABEL 200G,6,447.72
133,BRU INSTANT 100G,4,822.44
134,BRU INSTANT 11.9,132,"1,178.76"
135,BRU INSTANT 2.2G,"1,008.00","1,794.24"
136,BRU INSTANT 5.5G,60,262.2
137,BRU INSTANT(PACK)50G,16,"1,570.08"
138,BRU SUPER STRONG 200G,45,"8,151.30"
139,BUN 1 PKT (5NO),630,"18,900.00"
140,BUTTER BUN 250G,3,120
141,BUTTER BUN 500G,4,320
142,CADBURY BOURNVITA BISCUIT 120G,25,729.25
143,CADBURY BOURNVITA GAR 500G,3,666.96
144,CADBURY BOURNVITA PACK 500G,5,"1,039.30"
145,CADBURY BOURNVITTA 500G,1,212.96
146,CADBURY CHOCOBAKES COOKIES 75G,6,190.86
147,CADBURY CRISPELLO 13G,40,363.6
148,CADBURY DAIRY MILK CHOCO 12.5G,112,"1,018.08"
149,CADBURY DAIRY MILK CHOCO 25G,80,"1,434.80"
150,CADBURY DAIRY MILK CHOCO 6.3G,216,980.64
151,CADBURY DAIRY MILK CHOCOLATE 13,10,899.7
152,CADBURY DAIRY MILK LICKABLES,11,401.83
153,CADBURY DAIRY MILK MAHA PACK 52G,30,"1,071.60"
154,CADBURY DAIRY MILK SILK BUBBLY 50,6,455.4
155,CADBURY DAIRY MILK SILK OREO,6,455.4
156,CADBURY DAIRY MILK SILK ROAST ALM,6,455.4
157,CADBURY DAIRYMILK SILK CHOCOLATE,6,910.68
158,CADBURY GEMS 25.28 1NO,12,191.4
159,CADBURY GEMS SURPRISE BOLL 15.8G,12,482.16
160,CADBURY OREO CHOCOLATE  120G,24,763.44
161,CADBURY OREO STRAWBERRY 120G,12,381.72
162,CADBURY OREO VANILLA 120G,24,763.44
163,CADBURY SILK FRUIT & NUTS,6,455.4
164,CADBURY SILK FRUIT &NUT 137G,3,495.51
165,CADBURY SILK OREO RED VELVET 50G,5,379.5
166,CAKE BLACK FOREST 1KG,1,680
167,CAKE CARAMEL 1KG,1,650
168,CAKE CHOCO FANTASY 1KG,1,800
169,CAKE CHOCO PRALINE 1KG,1,850
170,CAKE PINEAPPLE 1KG,1,650
171,CAKE WHITE FOREST 1KG,2,"1,300.00"
172,CAMERRY BUTTERSCOTCH CONE,36,"1,200.12"
173,CAMERRY CHOCOBAR WITH PO,40,960
174,CAMERRY STRAWBERRY SUNDAE,12,480
175,CAMERRY SUNDAE CHOCOLATE,24,"1,000.08"
176,CAMERRY SUNDAE PISTA,12,480
177,CAMERRY TENDER COCONUT 1000ML,2,640
178,CARROT & DATES CAKE 800G,22,"8,360.00"
179,CARROT& DATES CAKE 400G,8,"1,560.00"
180,CAVINS BUTTERSCOTCH MILKSHAKE 18,16,416
181,CAVINS CHOCOLATE SHAKE 180ML,65,"1,685.63"
182,CAVINS STRABERRY MILKSHAKE 180ML,23,596.51
183,CAVINS VANILLA MILKSHAKE 180ML,16,414.56
184,CHICKEN SANDWICH,25,950
185,COCA-COLA 1.25L BOTTLE,2,89.68
186,COCA-COLA 2.25LIT BOTTLE,7,566.22
187,COCA-COLA 300ML GAN,8,256.32
188,COCACOLA 750ML,12,384.48
189,COMPLAN BOTTLE CHOCOLATE 500G,2,568.6
190,CUPCAKE INO RS 10,95,760
191,DAIRY MILK LICKABLES,1,41.3
192,DAIRY MILK SILK HAZELNUT,2,151.8
193,DIET COKE 300ML GAN,14,447.9
194,DOUBLE HORSE VERMICELLI KH MIX,24,"1,536.00"
195,DOVANA CHOCOLATES,2,559.32
196,EASTERN CORIANDER PODI NEW 250G,4,185.24
197,EASTERN KASHMIRI CHILLI 100G,10,553.7
198,EASTERN PEPPER PODI 50G,10,394.4
199,EASTERN PEPPER PODI NEW 100G,10,784
200,ELITE RAGI POWDER 500G,4,165.4
201,ENJOY COCONUT BALLS 6 PCS,10,400
202,FANTA 250ML,10,163.6
203,FANTA 750ML BOTTLE,6,192.24
204,FROOTI  300ML,15,253.5
205,FROOTI 1.2,2,130.88
206,FROOTI 160ML BTL,20,175.4
207,FROOTI 2LIT,2,185.18
208,FROOTI TETRA 125 ML,40,353.2
209,FRU CHILLY SAUCE 200G,6,194.22
210,FRU CUSTARD POWDER 1KG,10,889
211,FRU GRAPE SQUASH 700ML,6,598.08
212,FRU GREEN CHILLI SAUCE 700G,6,282.24
213,FRU LEMON SQUASH 700ML,3,241.92
214,FRU MANGO SQUASH 700ML,3,299.04
215,FRU MIXED FRUIT JAM 1KG,6,813.12
216,FRU ORANGE SQUASH 700ML,12,"1,102.08"
217,FRU PASSION FRUIT SEED SQUASH 700M,12,"1,740.00"
218,FRU PINEAPPLE JAM 1KG,6,813.12
219,FRU PINEAPPLE JAM 200G,48,"1,994.40"
220,FRU PINEAPPLE JAM 4KG,6,"2,083.20"
221,FRU PINEAPPLE SQUASH 700ML,24,"1,989.12"
222,FRU RED CHILLI SAUCE 200G,6,194.22
223,FRU SOYABEAN SAUCE 200G,6,194.22
224,FRU SOYABEAN SAUCE 800G,6,403.2
225,FRU TOMATO KETCHUP 90G,24,383.76
226,FRU TOMATO SAUCE 1KG,12,840
227,FRU TOMATO SAUCE 200G,12,388.44
228,FRUITOMANS ICING SUGR 1KG,3,258.42
229,GEMS 21.36G,64,558.08
230,GLUCON D LIME,6,240
231,GLUCON-D REGULAR 100G,12,334.8
232,GLUCON-D TANGY ORANGE 100G,6,252
233,GLUCOVITA BOLTS,25,217.75
234,GOLD WINNER 1LTR,30,"3,840.00"
235,GOOD DAY CASHEW,6,137.04
236,GOOD DAY PISTA BADAM,12,273.24
237,GRANDMAS GREEN CHILLI 200ML,3,132
238,GRANDMAS ORANGE SQUASH 700ML,3,276
239,GRANDMAS PINEAPPLE SQUASH 700ML,2,168
240,GRANDMAS RED CHILLI SAUCE,3,132
241,HALDIRAM BHUJIYA SEV 200G,3,144.72
242,HALDIRAM NAMKEEN PENUT 200G,4,175.44
243,HALDIRAM SHENG BHAJIA,3,131.58
244,HALDIRAMS CORNFLAKES MIXTURE 15,3,197.37
245,HALDIRAMS GULAB JAMUN500G,3,326.31
246,HALDIRAMS MOOGDAL 200G,4,192.96
247,HALDIRAMS NAVRATAN MIX 200G,4,210.48
248,HALDIRAMS PANCHRATAN MIXTURE  1,3,210.51
249,HALDIRAMS SOYA STICKS 200 G,3,118.41
250,HERSHEYS SYRUP CHOCOLAATE 200G,3,255
251,HORLICKS BISCUITS 300G,28,"1,170.96"
252,HORLICKS CLASSIC MALT 20G,75,343.5
253,HORLICKS JUNIOR VANILLA PAC 500G,4,796.32
254,JELLY  1KG,2,600
255,JILEBI 1NO,115,"1,150.00"
256,JOLY RANGER (LOLLI POP),100,445
257,KANAN DEVAN CLASSIC 1KG,10,"2,546.92"
258,KANAN DEVAN TEA 100G,20,576
259,KANAN DEVAN TEA 250G,12,844.8
260,KELLOGGS MUESLI FRUIT NUT,3,490.89
261,KELLOGGS PRINGLES SOUR 1+1,12,600.12
262,KF TOP CUP CHILLI CHILLI,3,128.67
263,KF TOP CUP ITALIANO,4,171.6
264,KF TOP CUP MAZEDAAR MASALA,3,128.67
265,KF TOP CUP PANEER BUTTER,2,85.8
266,KF TOP CUP SEAFOOD,2,85.8
267,KF TOP CUP SPICED CHICKEN,3,128.67
268,KF TOP ROGAN JOSH RICH MUTTON CURR,2,85.8
269,KINDER JOY BOYS 20G,96,"3,763.20"
270,KINDER JOY GIRLS 20G,96,"3,772.80"
271,KINLEY SODA 750ML,24,407.76
272,KITCHEN BENZY RAVA 500G,6,217.14
273,KITCHEN BROKEN WHEAT 500GM,6,212.46
274,KITCHEN CHICKEN MASALA 100G,10,320
275,KITCHEN CORIANDER PODI 250G,4,176.24
276,KITCHEN FENUGREEK(ULUVA) 250G,4,127.48
277,KITCHEN FISH PICKLE 150G,3,190.23
278,KITCHEN FISH PICKLE 400G,3,389.7
279,KITCHEN GARLIC PICKLE 150G,3,132.9
280,KITCHEN PRAWN PICKLE GAR 150G,3,210.84
281,KITCHEN PUTTU PODI 1 KG,9,458.91
282,KITCHEN TENDER MANGO PICKLE 150G,3,206.25
283,KITCHEN TURMERIC PODI 100G(MANJAL),10,165.3
284,KITCHEN VERMICELLY PAYASAM MIX 30,24,"1,503.12"
285,KITCHEN WHITE AVAL 400G,3,106.23
286,KITKAT 12.8G,42,381.78
287,KITKAT 18G,30,545.4
288,KNOOR SWEET CORN CHICKEN SOUP,6,330.3
289,KNORR ITALIAN MUSHROOM,6,385.32
290,KNORR MIXED VEGETABLE SOUP,6,330.3
291,KOPIKO CAPPUCCINA 161G,3,120.57
292,KURISHU BREAD 300G,14,630
293,KURISHU BREAD 500G,16,"1,200.00"
294,KURKURE CHILLI CHATKA,30,273.3
295,KURKURE GREEN CHUTNEY 47G,10,91.1
296,KURKURE GREEN CHUTNEY STYLE 94G,6,111.42
297,KURKURE MASALA MUNCH,20,182.2
298,KURKURE MASALA MUNCH 85G,6,111.42
299,KURKURE NAUGHTY TOMATO  85G,16,297.12
300,KURKURE NAUGHTY TOMOTO,20,182.2
301,LADDU 1NO,94,940
302,LAYS CLASSIC SALT,6,167.1
303,LAYS CLASSIC SALTED 50G,10,185.7
304,LAYS CREAAM & ONION 73G,16,445.6
305,LAYS CREAM & ONION 24G,80,728.8
306,LAYS CREAM & ONION 50G,30,557.1
307,LAYS CREAM ONION,5,356.15
308,LAYS GOURNMET,12,334.32
309,LAYS HOT & SWEET,40,551.8
310,LAYS HOT N SWEET CHILLI 50G,30,557.1
311,LAYS HOT SIZZLING,10,91.1
312,LAYS MAGIC MASALA,22,717.68
313,LAYS MAGIC MASALA  52G,20,371.4
314,LAYS MAGIC MASALA 73G,15,417.78
315,LAYS MAX CHILLY,6,163.92
316,LAYS MAX PEPPERY,10,91.1
317,LAYS MAXX MACHO CHILLI 22.5G,10,90.9
318,LAYS SIZZLIN  HOT 50G,10,185.7
319,LAYS TOMATO TANGO 115G,12,550.56
320,LAYS TOMATO TANGO 24G,50,455.5
321,LAYS TOMATO TANGO 50G,30,557.1
322,LAYS TOMATO TANGO 73G,22,612.7
323,LEHAR SODA 2 LIT,27,849.96
324,LEHAR SODA 750ML,72,"1,135.44"
325,LIFE LINE BADAM,10,430
326,LIFE LINE CASHEW,10,430
327,LIFE LINE VANILA,10,430
328,LIMCA 300ML,8,258.24
329,LION ARABIAN DATES 250G,6,593.4
330,LION ARABIAN DATES 500G,6,"1,134.36"
331,LION DESERT KING DATES 250G,3,377.37
332,LION DESERTKING DATES 500G,6,"1,452.12"
333,LION KIMJO DATES 500G,3,507.42
334,LIONS DESEEDED DATES 500G RED,3,395.46
335,LIONS DESEEDED DATES RED 250G,3,203.01
336,LIONS DESERTKING DATES 500G,6,"1,285.50"
337,LOTTE  LACTO KING 440G,4,340
338,LOTTE CHOCO PIE 450G,11,"1,675.03"
339,LOTTE CHOCO PIE 6 PIC 168G,6,540
340,LOTTE COFFY BITE,2,170
341,LOTTE COFFY BITE 190 G,6,264
342,LOTTE COFFY BITE CLASSIC,2,170
343,LOTTE ECLAIR CHOCO 600G,2,330
344,LOTTE ECLAIR HONEY 600G,2,330
345,LOTTE ECLAIRS MILK 600G,2,330
346,MAA 160ML,230,"1,760.00"
347,MAGGI CHICKEN NOODLES 142G,12,440.4
348,MAGGI CHICKEN NOODLES 284G,6,396.36
349,MAGGI MAS RS 55,24,"1,232.88"
350,MAGGI MASALA 560G,12,"1,233.00"
351,MAGGI MASALA NOODLES 140G,12,308.28
352,MAGGI MASALA NOODLES 70G,12,154.2
353,MALABAR CHEESE BALL,5,125
354,"MALABAR""S  TAPIOCA CHIPS 170G",5,170
355,"MALABAR""S  TOMATO MURUKKU 130G",10,320
356,MALANADU CURD 500ML,10,330
357,MALANADU MILK 500ML RED,67,"1,742.00"
358,MARAYOOR JAGGERY 500GM,24,"1,281.60"
359,MARBLE CAKE 400G,7,980
360,MARBLE CAKE 800G,11,"3,080.00"
361,MARIAS GINGER PICKLE 200G,2,110
362,MARIAS LIME PICKLE BOTTLE 200G,8,328
363,MARIAS MEAT PICKLE 200G,2,260
364,MARIAS NANNARI SQUASH,1,127.01
365,MARIAS PASSION FRUIT SQUASH,2,406
366,MARIES ACHAPPAM 10NO ROUND,35,"1,136.80"
367,MARIES ACHAPPAM 27 NOS SQARE,15,504
368,MARIES BANANA CHIPS 170G,25,"1,260.00"
369,MARIES BANANA CHIPS NEW 425G,6,756
370,MARIES BOLI 5 NOS,10,358.4
371,MARIES CHILLY MIXTURE 170G,20,795.2
372,MARIES CHILLY MIXTURE 425G,18,"1,713.62"
373,MARIES CORNFLAKES MIXTURE 179,5,179.2
374,MARIES DAL MIXTURE 170G,5,179.2
375,MARIES GHEE ROASTED PEANUT 75G,5,106.4
376,MARIES KAKKA CHIPS 100G,5,100.8
377,MARIES MADHURASEVA 170G,10,358.4
378,MARIES MULLU MURUKKU 170G,5,179.2
379,MARIES PAKKAVADA 170G,20,716.8
380,MARIES PEANUT CANDY 130G,15,409.5
381,MARIES PEANUT CANDY 240G,15,787.5
382,MARIES PLAIN PEANUT 130G,5,160.15
383,MARIES POPCORN 60G,10,178.5
384,MARIES ROASTED PRANUT 130G,10,320.3
385,MARIES SESAM BALL S WHITE 10 PCS,10,279.3
386,MARIES SESAM BALLS BLACK 10 PCS,5,139.65
387,MARIES SHARKKARAVARATTI 170G,5,252
388,MARIES SWEET MIXTURE 170G,5,179.2
389,MARIES TAPIOCA CHIPS CHILLI 170G,25,896
390,MARIES THATTA 130G,15,537.6
391,MARIES UZHUNNADA 130G,5,179.2
392,MARIES WHITE MIXTURE 170G,5,179.2
393,MASALA BISCUIT 250G,13,845
394,MASALA BISCUIT 500G,12,"1,800.00"
395,MEAT ROLL 1NO,15,405
396,MERCELYS ALPHONSA MANGO 500ML,2,251.2
397,MERCELYS BUTTERSCOTCH 1L,2,464.02
398,MERCELYS BUTTERSCOTCH 500ML,2,262.96
399,MERCELYS CASATTA,10,348
400,MERCELYS CHOCOBAR 1NO,20,464
401,MERCELYS CHOCOLATE 1L,1,232.02
402,MERCELYS CHOCOLATE 500ML,2,262.96
403,MERCELYS COMBO VANILLA+ BUTTERS,2,441.86
404,MERCELYS COMBO VANILLA+ MANAGO 7,1,220.4
405,MERCELYS COMBO VANILLA+ PISTA 75,1,220.93
406,MERCELYS CONE VANILA,16,494.88
407,MERCELYS FRUIT NAR STRW,25,386.75
408,MERCELYS FRUITBAR PINEAPPLE,50,386.5
409,MERCELYS LOLLY,48,380.64
410,MERCELYS MILKBAR PISTA,25,386.75
411,MERCELYS PUTTU ICE CREAM,2,425.34
412,MERCELYS SPANISH DELIGHT 1LTR,2,494.94
413,MERCELYS SPANISH DELIGHT 500ML,2,270.66
414,MERCELYS TENDER COCONUT 500ML,1,166.27
415,MERCELYS VANILLA 1L,4,728.68
416,MERCELYS VANILLA 500ML,4,386.68
417,MERIIBOY CHOCOLATE CONE 1 PCS,24,979.92
418,MERIIBOY VANILLA CONE 1 PCS,24,799.92
419,MIDO CHOCOLATE ECLAIERS 300G,2,333.32
420,MIDO HONEY ECLAIERS 300G,3,499.95
421,MIDO HONEY ECLAIRS 200G,2,234.44
422,MIDO MELODY CHOCKY,2,374.98
423,MIDO MELODY HONEY,2,375
424,MIDO MILK ECLAIRS 200G,2,233.32
425,MIDO PLATINUM CHOCOLATE ECLAIRS 3,1,166.66
426,MIDO PLATINUM HONEY ECLAIRS 300G,1,166.67
427,MIDO PLATINUM MILK ECLAIRS 300G,1,166.67
428,MILK PEDA TIN,3,155.97
429,MILKY MIST BUTTER MILK,20,309.2
430,MILKY MIST CREAM,6,390.18
431,MILKY MIST CURD 1LTR,6,701.04
432,MILKY MIST CURD 400G,30,"1,005.30"
433,MILMA BUTTER 500G,4,"1,115.60"
434,MILMA BUTTER UNSALTED 100G,6,366.36
435,MILMA BUTTER UNSALTED 200G,6,706.92
436,MILMA GHEE 100ML,6,433.02
437,MILMA GHEE 200ML,6,851.82
438,MILMA GHEE 500ML,3,"1,028.55"
439,MILMA GHEE 50ML,6,227.76
440,MILMA MILK 500G,58,"1,508.00"
441,MILMA PANEER 200G,6,585.6
442,MILMA PEDA,60,318.6
443,MINUTE MAID PULPY ORANGE 250ML,15,330.6
444,MIRINDA 2.25LIT,3,233.46
445,MIRINDA 250ML CAN,6,164.58
446,MIRINDA 750ML,6,188.64
447,MOJOIES CHOCOLATE RS 5,"1,020.00","3,723.00"
448,MOMS MAGIC BUTTER,6,136.86
