Sl,Item,Quantity,Amount
1,916 COCONUT OIL 500ML,1,90
2,ACT SANDROP PB CRUNCHY 100G,3,150
3,ACT SUNDROP PEANUT BUTTER CREAME,1,250
4,ACT SUNDROP PEANUT BUTTER CREAM,1,175
5,ALPH LOLIPOP,47,245
6,AMUL CHOCLATE 750ML+750ML,1,260
7,AMUL CHOCO CHIPS 500ML,1,120
8,AMUL CUP,1,40
9,AMUL FRESH CREAM 1LTR,1,245
10,AMUL JUMBO CUP VANILA,18,540
11,AMUL MANGO BAR,1,25
12,AMUL MITHAI MATE 7.5KG,5,9375
13,AMUL TWO IN ONE,1,295
14,AMUL VANILA 750+750ML,1,230
15,AMUL VANILA CONE,11,330
16,AMULYA DAIRY W . 10KG JAR,3,11500
17,APPLE SHAKE,1,90
18,APPY 250ML BOTTLE RED,3,60
19,APPY 600 ML RED BTL,2,70
20,APPY FIZZ CAN 250,1,35
21,ASIANS MACRONI CANDY,2,80
22,ASIANS PAKKAVADA,1,50
23,BABY RUSK 250G,3,150
24,BABY RUSK 500G,4,400
25,BADHAM (LOOSE)1KG,0.1,100
26,BANANA BISCUT 250G,9,720
27,BANANA BOLI 1 PCS,160,2400
28,BASIL SEED BLUEBERRY,2,180
29,BAT PAPPADOM 90G,2,20
30,BLACK CURRENT ICE CREAM SHAKE,2,180
31,BN LADDU INO,1,12
32,BONDA 1NO,1,12
33,BOOST 500 G PAC,1,249
34,BOOST SHAKE,2,140
35,BOURNVITA 1KG JAR,1,410
36,BRAHMINS MULTIGRAIN PUTTUPODI 50,1,64
37,BREAD 1NO,274,10960
38,BRITANNIA 50-50 SWEET AND SALTY 76G,8,80
39,BRITANNIA GOOD DAY BUTTER 200G,21,735
40,BRITANNIA GOOD DAY CHOCOCHIP,2,40
41,BRITANNIA NUTRI CHOICE CRACKER,5,50
42,BRITANNIA NUTRI CHOICE DIGESTIVE 2,2,100
43,BRITANNIA NUTRI CHOICE OATS 150G,7,525
44,BRITANNIA NUTRI CHOICE RAGI 150G,6,450
45,BRITANNIA TREAT ORANGE,1,10
46,BRITANNIA TREAT VANILA,14,140
47,BRITANNIA TREAT WAFFERS  CHEESE,5,50
48,BUN 1 PKT (5NO),536,21440
49,BUN LOOSE,8,80
50,BURGER,5,300
51,BUTTER BUN 250G,3,150
52,BUTTER BUN 500G,8,800
53,BUTTER SALT COOKIES 150G,1,65
54,BUTTERSCOTCH ICE CREAM SHAKE,10,900
55,CADBURY DAIRY MILK SILK OREO,4,340
56,CADBURY DAIRYMILK SILK CHOCO,5,400
57,CADBURY DAIRYMILK SILK CHOCOLATE,2,350
58,CADBURY OREO STRAWBERY,3,30
59,CAKE BLACK FOREST 1KG,3,2100
60,CAKE CADBERRY VELVET 1 KG,1,900
61,CAKE CARAMEL 1KG,1,700
62,CAKE CHOCO FANTASY 1KG,1,850
63,CAKE CHOCO PRALINE 1KG,1.5,1350
64,CAKE CHOCOLATE TRUFFLE 1KG,1,800
65,CAKE PINEAPPLE 1KG,1,700
66,CAKE ROYAL BUTTER SCOTCH  1KG,1,800
67,CAKE WHITE FOREST 1KG,2,1400
68,CAMERRY BUTTERSCOTCH CONE,51,2040
69,CAMERRY CHOCOBAR WITH PO,2,60
70,CAMERRY CHOCOLATE CONE,6,290
71,CAMERRY DILSE CASSATA RED VELVET,3,105
72,CAMERRY STRAWBERRY SUNDAE,5,225
73,CAMERRY SUNDAE CHOCOLATE,5,250
74,CAMERRY SUNDAE PISTA,5,225
75,CAMERRY VAANILA CONE,3,105
76,CANDLE 1NO,2,36
77,CANDYMAN CHOCO  ECLAIRS  185G.,1,50
78,CARDOMAM 1KG(ELAKKA),0.01,30
79,CARROT & DATES CAKE 800G,23,9660
80,CARROT CAKE 1 PCS,300,4500
81,CARROT& DATES CAKE 400G,8,1680
