Sl,Item,Quantity,Amount
1,ACT SANDROP PB CREAMY 100G,1,50
2,ACT SUNDROP PEANUT BUTTER CREAME,1,250
3,ACT SUNDROP PEANUT BUTTER CRUNCH,2,500
4,ALFA PLATE MEDIUM 1NO,25,112.5
5,ALPH LOLIPOP,31,160
6,AMUL DARK CHOCOLATE CONE,3,135
7,AMUL FRESH CREAM 1LTR,4,880
8,AMUL MITHAI MATE 7.5KG,3,"5,625.00"
9,AMUL VANILA CONE,5,150
10,AMULYA DAIRY W . 10KG JAR,1,"4,000.00"
11,APPY 600 ML RED BTL,9,315
12,APPY FIZZ 125 BTL RED,7,70
13,ASIANS MACRONI CANDY,6,240
14,BABY RUSK 250G,1,50
15,BABY RUSK 500G,3,300
16,BADHAM (LOOSE)1KG,0.75,750
17,BAKERS ICE POWDER,1,40
18,BALL ICE,1,10
19,BANANA BISCUT 250G,5,400
20,BANANA BISCUT 500G,1,160
21,BANANA BOLI 1 PCS,100,"1,500.00"
22,BAT PAPPADOM 90G,2,20
23,BINGO HASHTAG CREM&ONION,1,10
24,BLACK CURRENT ICE CREAM SHAKE,1,90
25,BLUE MOON MOJITO,2,160
26,BN LADDU INO,3,36
27,BONDA 1NO,29,348
28,BOOST SHAKE,1,70
29,BREAD 1NO,177,"7,080.00"
30,BRITANNIA 50-50 SWEET AND SALTY 76G,47,470
31,BRITANNIA GOOD DAY CASHEW,1,10
32,BRITANNIA GOOD DAY CHOCOCHIP,3,90
33,BRITANNIA NUTRI CHOICE CRACKER,22,220
34,BRITANNIA NUTRI CHOICE OATS 150G,7,525
35,BRITANNIA NUTRI CHOICE RAGI 150G,4,300
36,BRITANNIA TREAT CROISSANT MIXED F,6,120
37,BUN 1 PKT (5NO),"1,451.00","58,040.00"
38,BUN LOOSE,2,20
39,BURGER,11,660
40,BUTTER BUN 250G,1,50
41,BUTTER BUN 500G,1,100
42,BUTTER SALT COOKIES 150G,1,65
43,BUTTERSCOTCH ICE CREAM SHAKE,13,"1,170.00"
44,CADBURY DAIRY MILK SILK OREO,2,170
45,CADBURY DAIRYMILK SILK CHOCO,13,"1,020.00"
46,CAKE CARAMEL 1KG,1,700
47,CAKE CHOCO CHIP 1 KG,1,"1,000.00"
48,CAKE CHOCO FANTASY 1KG,1,850
49,CAKE CRUNCHY VELVET 1 KG,1,"1,000.00"
50,CAKE MANGO 1KG,1,700
51,CAKE VANCHO 1KG,3,"2,700.00"
52,CAMERRY BUTTERSCOTCH CONE,103,"4,120.00"
53,CAMERRY CHOCOBAR WITH PO,18,540
54,CAMERRY CHOCOLATE BULK 4L,1,820
55,CAMERRY DILSE CASSATA RED VELVET,7,245
56,CANDIES 70G,1,20
57,CANDLE 1NO,2,34
58,CANDYMAN ECLAIRS,125,125
59,CARDOMAM 1KG(ELAKKA),0.02,60
60,CARROT & DATES CAKE 800G,23,"9,660.00"
61,CARROT& DATES CAKE 400G,13,"2,730.00"
62,CASHEW (NUTS) 1KG,0.3,240
63,CASHEW NUTS (FULL),0.6,600
64,CENTRE FRESH,201,201
65,CENTRE FRUIT,23,23
66,CHICKEN SANDWICH,17,680
67,CHIKKU SHAKE,3,240
68,CHILLY SODA,19,570
69,CHURUTU 10 NOS.,17,850
70,COCONUT BISCUIT,3,210
71,COCONUT BISCUT 250G,1,80
72,COFFEE,148,"3,570.00"
73,CORNFLAKES BISCUTE 250G,3,240
74,COVER,0.3,6
75,CREAM BELL MILK CHOCOLATE,4,120
76,CUPCAKE 1NO,40,400
77,CUPCAKE CHOCOLATTE 1NO,10,100
78,CUTLET 1NO,119,"2,380.00"
79,DATES,0.75,250
80,DATES 1KG,2.15,570
81,EASTERN KASHMIRI CHILLI 250G,2,344
82,ESSENCE,1,28
83,FILZ CENTER,63,63
84,FRENCH FRIES,7,350
85,FRESH ANAR JUICE,2,160
86,FRESH MANGO JUICE,3,210
87,FRESH MIXED JUICE,1,90
88,FRESH PINEAPPLE JUICE,3,240
89,FROOTI 160ML BTL,88,880
90,FROOTI TETRA 125 ML,39,390
91,GALAXY SHAKE,6,480
92,GINGER LIME,3,90
93,GOLD WINNER 1LTR,21,"2,520.00"
94,GOOD DAY PISTA BADAM,1,25
95,GOODLIFE NANDINI MILK 500ML,9,297
96,GRAMBU 1KG,0.02,20
97,GRAPE LIME,5,150
98,HALDIRAM NAMKEEN PENUT 200G,2,100
99,HALDIRAM SHENG BHAJIA,3,150
100,HALDIRAMS SOAN PAPDI REG,3,210
101,HALVA 1KG(MAIDHA),15.15,"2,272.50"
102,HALVA 1KG(RICE),1,250
103,HALVA SP 1KG(RICE),27.48,"6,868.75"
104,HORLICKS SHAKE,1,70
105,HORLICKS WOMEN CARAMEL 400G JAR,1,345
106,IMPORTED COINS CANDY,2,10
107,IMPORTED MASHMELLO,1,15
108,IMPORTED WAFFER,2,200
109,INDIA GATE (HAIMA RICE) 1KG,2,260
110,JELLY  1KG,0.3,120
111,JILEBI 1NO,92,"1,104.00"
112,JOLY RANGER (LOLLI POP),166,830
113,JR CHAPPATHI,4,160
114,KARUVAPATTA 1KG,0.02,10
115,KELLOGGS CHOCOS,35,350
116,KELLOGGS CORN FLAKES 475G,1,205
117,KF TOP CUP SPICED CHICKEN,5,250
118,KIDILAN SHARJAH,3,270
119,KISAN,1,20
120,KISSMISS GREEN 1KG,0.2,80
121,KITCHEN CUMIN 50G,1,80
122,KITCHEN GINGER GARLIC PASTE 100G,1,35
123,KITCHEN PUTTU PODI 1 KG,1,68
124,KITCHEN VERMICELLY PAYASAM MIX 30,1,82
125,KITKAT SHAKE,1,80
126,KOPICO,19,19
127,KOTTAYAAM VINAGIRI,1,125
128,KURUMPULLU 1KG,1,50
129,LADDU 1NO,171,"2,052.00"
130,LAYS CLASSIC SALT,2,60
131,LAYS GOURNMET,12,360
132,LAYS HOT & SWEET,18,540
133,LAYS MAGIC MASALA,1,50
134,LAYS MAX PEPPERY,4,40
135,LAZZA,8,450
136,LAZZA CHOCOBAR,4,100
137,LAZZA CUP VANILA,6,60
138,LAZZA VANILA 1LTR,1,200
139,LIFE LINE BADAM,6,300
140,LIFE LINE CASHEW,5,250
141,LIFE LINE VANILA,8,400
142,LOTTE CHOCO 1 PCS 25 G,6,60
143,MAA TETRA,25,250
144,MACRONS BISCUT 250G,4,320
145,MAGGI MAS RS 55,33,"1,848.00"
146,MAGGI MASALA 560G,1,112
147,MALABAR CHEESE BALL,1,40
148,MANGO SHAKE,1,80
149,MARBLE CAKE 400G,6,960
150,MARBLE CAKE 800G,13,"4,160.00"
151,MARIES CORNFLAKES MIXTURE 179,2,100
152,MARIES MACRONI SWEETS,5,150
153,MARIES PEANUT CANDY 130G,11,385
154,MARIES PEANUT CANDY 240G,6,390
155,MARIES PEANUT CANDY70G,4,100
156,MARIES POPCORN 60G,1,25
157,MARIES SESAM BALL S WHITE 10 PCS,6,240
158,MARIES SESAM BALLS BLACK 10 PCS,5,200
159,MARIES SWEET BANANA CHIPS 150GM,11,770
160,MARIES TAPIOCA CHIPS CHILLI 170G,12,600
161,MARIES THATTA 130G,1,50
162,MARIES TOMATO MURUKKU 130G,6,300
163,MARIES UZHUNNADA 130G,2,100
164,MASALA BISCUIT 250G,18,"1,440.00"
165,MASALA BISCUIT 500G,3,480
166,MEAT ROLL 1NO,11,330
167,MELODY,6,10
168,MERCELYS FRUITBAR PINEAPPLE,25,250
169,MERCELYS LOLLY,46,460
170,MILK PEDA TIN,1,65
171,MILKMAID TIN 380G,10,"1,430.00"
172,MILKY MIST CURD 1LTR,3,414
173,MILKY MIST CURD 400G,65,"2,470.00"
174,MILKY MIST WHIP CREAM 250 ML,2,200
175,MILKYBAR MOULD 13.2G,50,500
176,MILMA CURD,3,105
177,MILMA MILK 500G,33,924
178,MINI PIZZA,3,150
179,MINT,10,10
180,MIXED FRUIT HALVA 1KG,1.15,287.5
181,MIXTURE,3,900
