Item,Quantity_Sales,Amount_Sales,Quantity_Purchases,Amount_Purchases
916 COCONUT OIL 500ML,1.0,90.0,0,0
ACT SANDROP PB CRUNCHY 100G,3.0,150.0,0,0
ACT SUNDROP PEANUT BUTTER CREAME,1.0,250.0,1,220.15
ACT SUNDROP PEANUT BUTTER CREAM,1.0,175.0,1,160.53
ALPH LOLIPOP,47.0,245.0,0,0
AMUL CHOCLATE 750ML+750ML,1.0,260.0,0,0
AMUL CHOCO CHIPS 500ML,1.0,120.0,0,0
AMUL CUP,1.0,40.0,0,0
AMUL FRESH CREAM 1LTR,1.0,245.0,12,"2,460.00"
AMUL JUMBO CUP VANILA,18.0,540.0,32,792.16
AMUL MANGO BAR,1.0,25.0,0,0
AMUL MITHAI MATE 7.5KG,5.0,9375.0,2,"3,400.00"
AMUL TWO IN ONE,1.0,295.0,0,0
AMUL VANILA 750+750ML,1.0,230.0,0,0
AMUL VANILA CONE,11.0,330.0,20,495
AMULYA DAIRY W . 10KG JAR,3.0,11500.0,1,"3,498.01"
APPLE SHAKE,1.0,90.0,0,0
APPY 250ML BOTTLE RED,3.0,60.0,0,0
APPY 600 ML RED BTL,2.0,70.0,0,0
APPY FIZZ CAN 250,1.0,35.0,6,164.58
ASIANS MACRONI CANDY,2.0,80.0,5,157.5
ASIANS PAKKAVADA,1.0,50.0,0,0
BABY RUSK 250G,3.0,150.0,3,135
BABY RUSK 500G,4.0,400.0,4,320
BADHAM (LOOSE)1KG,0.1,100.0,0,0
BANANA BISCUT 250G,9.0,720.0,9,630
BANANA BOLI 1 PCS,160.0,2400.0,0,0
BASIL SEED BLUEBERRY,2.0,180.0,0,0
BAT PAPPADOM 90G,2.0,20.0,0,0
BLACK CURRENT ICE CREAM SHAKE,2.0,180.0,0,0
BN LADDU INO,1.0,12.0,0,0
BONDA 1NO,1.0,12.0,0,0
BOOST 500 G PAC,1.0,249.0,6,"1,383.36"
BOOST SHAKE,2.0,140.0,0,0
BOURNVITA 1KG JAR,1.0,410.0,0,0
BRAHMINS MULTIGRAIN PUTTUPODI 50,1.0,64.0,4,208
BREAD 1NO,274.0,10960.0,235,"8,930.00"
BRITANNIA 50-50 SWEET AND SALTY 76G,8.0,80.0,12,107.4
BRITANNIA GOOD DAY BUTTER 200G,21.0,735.0,20,639.6
BRITANNIA GOOD DAY CHOCOCHIP,2.0,40.0,30,601.08
BRITANNIA NUTRI CHOICE CRACKER,5.0,50.0,0,0
BRITANNIA NUTRI CHOICE DIGESTIVE 2,3.0,170.0,0,0
BRITANNIA NUTRI CHOICE OATS 150G,7.0,525.0,6,402.48
BRITANNIA NUTRI CHOICE RAGI 150G,6.0,450.0,9,603.72
BRITANNIA TREAT ORANGE,1.0,10.0,6,54.66
BRITANNIA TREAT VANILA,14.0,140.0,12,109.32
BRITANNIA TREAT WAFFERS  CHEESE,5.0,50.0,0,0
BUN 1 PKT (5NO),536.0,21440.0,630,"18,900.00"
BUN LOOSE,8.0,80.0,0,0
BURGER,5.0,300.0,0,0
BUTTER BUN 250G,3.0,150.0,3,120
BUTTER BUN 500G,8.0,800.0,4,320
BUTTER SALT COOKIES 150G,1.0,65.0,0,0
BUTTERSCOTCH ICE CREAM SHAKE,10.0,900.0,0,0
CADBURY DAIRY MILK SILK OREO,4.0,340.0,6,455.4
CADBURY DAIRYMILK SILK CHOCO,5.0,400.0,0,0
CADBURY DAIRYMILK SILK CHOCOLATE,2.0,350.0,6,910.68
CADBURY OREO STRAWBERY,3.0,30.0,0,0
CAKE BLACK FOREST 1KG,3.0,2100.0,1,680
CAKE CADBERRY VELVET 1 KG,1.0,900.0,0,0
CAKE CARAMEL 1KG,1.0,700.0,1,650
CAKE CHOCO FANTASY 1KG,1.0,850.0,1,800
CAKE CHOCO PRALINE 1KG,1.5,1350.0,1,850
CAKE CHOCOLATE TRUFFLE 1KG,1.0,800.0,0,0
CAKE PINEAPPLE 1KG,1.0,700.0,1,650
CAKE ROYAL BUTTER SCOTCH  1KG,1.0,800.0,0,0
CAKE WHITE FOREST 1KG,2.0,1400.0,2,"1,300.00"
CAMERRY BUTTERSCOTCH CONE,51.0,2040.0,36,"1,200.12"
CAMERRY CHOCOBAR WITH PO,2.0,60.0,40,960
CAMERRY CHOCOLATE CONE,6.0,290.0,0,0
CAMERRY DILSE CASSATA RED VELVET,3.0,105.0,0,0
CAMERRY STRAWBERRY SUNDAE,5.0,225.0,12,480
CAMERRY SUNDAE CHOCOLATE,5.0,250.0,24,"1,000.08"
CAMERRY SUNDAE PISTA,5.0,225.0,12,480
CAMERRY VAANILA CONE,3.0,105.0,0,0
CANDLE 1NO,2.0,36.0,0,0
CANDYMAN CHOCO  ECLAIRS  185G.,1.0,50.0,0,0
CARDOMAM 1KG(ELAKKA),0.01,30.0,0,0
CARROT & DATES CAKE 800G,23.0,9660.0,22,"8,360.00"
CARROT CAKE 1 PCS,300.0,4500.0,0,0
CARROT& DATES CAKE 400G,8.0,1680.0,8,"1,560.00"
CASHEW (NUTS) 1KG,0.3,240.0,0,0
CENTRE FRESH,82.0,82.0,0,0
CHERI PAZHAM 1KG,0.2,60.0,0,0
CHICKEN SANDWICH,25.0,1000.0,25,950
CHILLY SODA,3.0,90.0,0,0
CHOCOLATE ICE CREAM SHAKE,1.0,80.0,0,0
CHURUTU 10 NOS.,12.0,600.0,0,0
COCONET BISCUT 250G,1.0,80.0,0,0
COCONUT BISCUIT,1.0,70.0,0,0
COCONUT BISCUT 250G,1.0,80.0,0,0
COFFEE,363.0,7617.0,0,0
COLD COFFE,1.0,75.0,0,0
CONEFETTI CONE BUTTERSCOTCH,1.0,300.0,0,0
